camera,age,ram,cpu_score,slot_sd,sims,price
110,2,4,89,1,2,31596
187,0,4,42,0,1,33530
100,2,4,52,0,2,9262
22,2,6,82,0,2,62199
114,2,12,88,1,1,66287
79,2,16,69,0,2,67546
196,3,8,93,1,2,48150
28,0,8,84,1,2,30615
110,3,6,45,0,1,11327
129,3,4,56,0,1,62782
82,2,6,98,0,1,37768
95,1,12,84,0,2,36850
124,1,12,90,1,1,59411
107,3,16,92,0,2,50788
111,3,16,58,0,2,58409
159,2,12,81,0,1,24848
138,3,12,74,1,1,54830
157,2,12,85,0,2,60446
60,1,6,65,0,2,47542
9,1,12,90,1,1,23160
95,0,8,44,1,1,64583
165,1,4,68,0,1,41998
45,3,12,76,0,2,35230
137,1,4,59,0,2,17076
199,2,6,88,0,2,11805
195,1,4,60,0,2,39085
28,0,6,49,1,2,63571
168,1,8,44,1,1,22715
65,2,6,75,0,1,13750
29,2,6,45,0,2,56395
96,3,16,65,1,2,21232
56,1,12,43,0,1,61008
66,2,12,78,0,1,43903
177,0,8,78,0,1,14953
195,3,8,89,0,1,40093
22,0,12,74,0,2,33500
197,1,16,40,1,1,30418
197,1,12,63,0,2,61741
182,1,16,96,0,1,42314
197,3,8,75,0,1,56225
58,2,4,45,1,1,30449
115,3,8,80,1,2,25478
62,0,8,93,1,2,43179
71,3,6,85,1,1,59769
138,0,6,99,0,2,54881
58,3,6,83,1,2,33338
142,2,6,99,0,1,34899
28,0,16,96,0,1,12145
80,1,12,70,1,2,40101
174,1,4,59,1,2,10775
25,3,8,63,1,2,53961
139,1,16,64,1,1,39647
96,0,4,75,1,1,53619
67,1,16,60,0,2,53838
21,2,16,69,1,1,63780
16,2,8,63,1,1,27539
97,3,12,83,1,2,44738
60,0,6,81,0,2,65124
137,2,12,69,1,1,34616
91,2,8,61,0,1,22119
99,0,8,67,1,2,33159
118,1,8,46,1,1,62567
195,1,4,74,0,1,45099
179,3,12,94,1,2,18295
15,1,12,67,0,2,42710
182,0,16,53,0,1,69799
42,2,16,95,0,1,63178
88,1,16,49,1,1,32685
171,3,8,55,1,2,57343
57,1,12,55,1,1,33479
111,0,8,93,0,1,54172
139,3,4,70,1,2,41629
9,1,16,81,0,2,63863
141,3,8,64,1,1,50043
61,0,8,52,0,2,25033
113,2,4,45,0,2,44902
11,0,6,83,0,1,52571
61,0,12,48,1,2,23408
198,0,6,84,0,2,64739
153,0,16,75,0,1,65980
51,2,8,95,0,2,25420
169,2,4,82,0,1,24351
197,3,4,59,0,1,12131
21,1,12,57,0,2,59300
102,2,6,97,1,2,52825
55,2,12,82,1,2,19349
22,1,8,96,0,1,68931
197,2,12,60,1,2,52254
47,0,4,43,1,1,46225
89,0,4,89,0,2,46847
118,1,16,72,0,2,20453
60,3,16,66,0,2,26814
31,3,8,46,1,1,26263
161,1,6,45,0,2,20158
195,1,12,54,1,2,23735
131,0,8,57,0,1,23830
48,3,16,71,1,1,55893
164,2,12,95,0,2,52673
22,0,16,50,0,2,69470
52,1,12,59,1,2,31926
72,3,6,63,1,1,53066
96,2,8,54,1,1,42779
78,2,12,87,1,1,11373
16,0,4,46,1,1,18335
95,3,4,60,1,2,31741
136,3,12,81,0,1,18692
143,1,12,65,1,1,55295
70,3,12,83,0,1,53541
146,3,4,95,0,2,42057
88,0,4,53,1,2,9447
143,3,12,96,0,1,27583
170,2,16,76,1,1,30765
170,0,16,97,1,2,67287
40,0,6,60,0,2,31906
130,1,8,57,0,2,63211
12,3,16,44,1,2,27567
48,1,4,42,1,2,22139
35,2,16,62,0,2,54525
142,0,6,65,0,2,46230
79,0,6,76,0,2,60368
19,0,8,63,0,1,27520
169,2,16,88,1,1,27702
40,2,4,58,1,1,59934
55,1,4,90,1,1,33566
158,1,12,64,1,1,15657
69,1,4,60,0,1,45688
44,3,8,51,0,2,38134
106,0,8,96,1,2,18345
179,0,4,100,1,1,63476
111,1,4,80,1,1,63479
