longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-118.39,34.12,29,6447,1012,2184,960,8.2816,<1H OCEAN
-120.42,34.89,24,2020,307,855,283,5.0099,<1H OCEAN
-118.45,34.25,36,1453,270,808,275,4.3839,<1H OCEAN
-118.1,33.91,35,1653,325,1072,301,3.2708,<1H OCEAN
-117.07,32.77,38,3779,614,1495,614,4.3529,NEAR OCEAN
-118.04,33.93,35,1805,387,1505,366,4.1667,<1H OCEAN
-122.27,37.83,49,1655,366,754,329,1.375,NEAR BAY
-122.26,37.46,26,5067,750,1996,728,7.0001,NEAR OCEAN
-122.03,37.36,16,2697,803,1369,723,4.4699,<1H OCEAN
-117.61,33.43,24,2303,399,851,379,3.9875,NEAR OCEAN
-118.32,34.06,36,3239,722,1383,612,4.5918,<1H OCEAN
-121.23,37.96,44,2204,473,1277,435,1.5539,INLAND
-121.2,37.81,26,395,74,193,72,7.3718,INLAND
-121.91,37.24,24,5046,1001,2449,968,4.7118,<1H OCEAN
-118.48,34.28,35,2132,368,1128,341,5.3107,<1H OCEAN
-117.65,34.1,44,1526,337,831,326,3.0284,INLAND
-121.59,39.82,12,1958,369,875,354,2.3507,INLAND
-118.97,35.41,36,1896,315,937,303,3.996,INLAND
-118.06,33.88,17,7187,1073,3844,1068,6.5901,<1H OCEAN
-118.39,33.85,24,4373,871,1830,824,5.7128,<1H OCEAN
-117.98,33.73,18,3833,,2192,996,3.4679,<1H OCEAN
-118.32,33.79,35,2924,658,1675,602,3.8287,<1H OCEAN
-120.27,34.72,14,1289,277,693,237,3.2569,<1H OCEAN
-119.65,36.33,52,1257,257,624,243,2.3523,INLAND
-119.86,36.82,12,1488,253,675,223,4.7622,INLAND
-119.23,35.78,8,1612,343,1230,330,2.1806,INLAND
-118.35,34.16,45,1390,281,538,270,4.2212,<1H OCEAN
-120.94,37.68,4,13315,2424,6420,2289,4.2471,INLAND
-118.99,35.24,40,282,59,213,71,2.35,INLAND
-121.11,37.47,12,2263,410,913,330,3.5795,INLAND
-118.02,34.08,28,2769,631,2452,581,2.6071,INLAND
-120.17,39.33,10,614,141,195,95,0.9283,INLAND
-118.35,34.02,34,3978,1073,2725,1035,1.7622,<1H OCEAN
-123.34,39.5,15,2342,535,1064,433,1.8967,INLAND
-122.24,40.18,39,2191,493,1307,499,1.6483,INLAND
-122.03,37.36,28,2490,345,948,361,6.4913,<1H OCEAN
-117.09,32.58,12,2565,567,1785,545,3.0273,NEAR OCEAN
-118.33,34.18,45,1552,315,785,316,3.7411,<1H OCEAN
-121.44,38.53,37,1951,432,1089,411,2.3272,INLAND
