longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.39,34.12,29,6447,1012.0,2184,960,8.2816,<1H OCEAN,483020.6
-120.42,34.89,24,2020,307.0,855,283,5.0099,<1H OCEAN,221708.09
-118.45,34.25,36,1453,270.0,808,275,4.3839,<1H OCEAN,205706.0
-118.1,33.91,35,1653,325.0,1072,301,3.2708,<1H OCEAN,170623.0
-117.07,32.77,38,3779,614.0,1495,614,4.3529,NEAR OCEAN,212497.0
-118.04,33.93,35,1805,387.0,1505,366,4.1667,<1H OCEAN,164798.0
-122.27,37.83,49,1655,366.0,754,329,1.375,NEAR BAY,114046.0
-122.26,37.46,26,5067,750.0,1996,728,7.0001,NEAR OCEAN,434144.28
-122.03,37.36,16,2697,803.0,1369,723,4.4699,<1H OCEAN,280961.03
-117.61,33.43,24,2303,399.0,851,379,3.9875,NEAR OCEAN,258439.07
-118.32,34.06,36,3239,722.0,1383,612,4.5918,<1H OCEAN,408649.28
-121.23,37.96,44,2204,473.0,1277,435,1.5539,INLAND,69340.0
-121.2,37.81,26,395,74.0,193,72,7.3718,INLAND,270996.0
-121.91,37.24,24,5046,1001.0,2449,968,4.7118,<1H OCEAN,266551.0
-118.48,34.28,35,2132,368.0,1128,341,5.3107,<1H OCEAN,235190.0
-117.65,34.1,44,1526,337.0,831,326,3.0284,INLAND,124375.0
-121.59,39.82,12,1958,369.0,875,354,2.3507,INLAND,92847.0
-118.97,35.41,36,1896,315.0,937,303,3.996,INLAND,96797.0
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,<1H OCEAN,338403.03
-118.39,33.85,24,4373,871.0,1830,824,5.7128,<1H OCEAN,374039.09
-117.98,33.73,18,3833,,2192,996,3.4679,<1H OCEAN,197371.0
-118.32,33.79,35,2924,658.0,1675,602,3.8287,<1H OCEAN,296512.0
-120.27,34.72,14,1289,277.0,693,237,3.2569,<1H OCEAN,204461.0
-119.65,36.33,52,1257,257.0,624,243,2.3523,INLAND,64569.0
-119.86,36.82,12,1488,253.0,675,223,4.7622,INLAND,112824.0
-119.23,35.78,8,1612,343.0,1230,330,2.1806,INLAND,69609.0
-118.35,34.16,45,1390,281.0,538,270,4.2212,<1H OCEAN,312614.03
-120.94,37.68,4,13315,2424.0,6420,2289,4.2471,INLAND,170627.0
-118.99,35.24,40,282,59.0,213,71,2.35,INLAND,78535.0
-121.11,37.47,12,2263,410.0,913,330,3.5795,INLAND,137369.0
-118.02,34.08,28,2769,631.0,2452,581,2.6071,INLAND,172992.0
-120.17,39.33,10,614,141.0,195,95,0.9283,INLAND,102704.0
-118.35,34.02,34,3978,1073.0,2725,1035,1.7622,<1H OCEAN,143769.0
-123.34,39.5,15,2342,535.0,1064,433,1.8967,INLAND,87371.0
-122.24,40.18,39,2191,493.0,1307,499,1.6483,INLAND,60508.0
-122.03,37.36,28,2490,345.0,948,361,6.4913,<1H OCEAN,369103.04
-117.09,32.58,12,2565,567.0,1785,545,3.0273,NEAR OCEAN,131954.0
-118.33,34.18,45,1552,315.0,785,316,3.7411,<1H OCEAN,230648.01
-121.44,38.53,37,1951,432.0,1089,411,2.3272,INLAND,90272.0
-119.7,34.43,35,1402,369.0,654,385,2.6205,<1H OCEAN,321848.1
-117.15,34.22,10,1039,174.0,317,109,7.2371,INLAND,243299.0
-118.37,33.87,18,2516,485.0,1128,433,5.0114,<1H OCEAN,332238.0
-118.01,33.85,29,3061,612.0,2396,640,4.6326,<1H OCEAN,201521.0
-122.32,37.94,47,1911,283.0,697,275,6.2712,NEAR BAY,343277.07
-117.96,33.94,34,2228,399.0,1159,378,4.8906,<1H OCEAN,209523.0
-117.96,34.14,33,1994,405.0,993,403,3.766,INLAND,169949.0
-117.55,34.0,17,3583,700.0,1587,719,2.6979,INLAND,114519.0
-122.28,37.86,41,2214,550.0,1213,568,2.2845,NEAR BAY,162601.0
-117.43,34.07,18,2453,537.0,1503,500,2.3768,INLAND,110847.0
-117.21,33.34,10,5294,817.0,2312,810,5.4563,<1H OCEAN,315238.04
-120.68,37.47,33,1028,226.0,658,197,2.3043,INLAND,103838.0
-122.83,38.96,15,1318,296.0,567,276,1.8692,INLAND,83735.0
-122.22,37.37,26,440,202.0,322,218,5.1831,NEAR OCEAN,401855.3
-116.87,32.75,15,2053,321.0,993,309,5.5164,<1H OCEAN,191612.0
-118.39,33.79,30,4402,563.0,1582,551,10.898,NEAR OCEAN,500001.0
-117.13,32.74,46,3355,768.0,1457,708,2.6604,NEAR OCEAN,170020.0
-122.45,37.74,38,5688,930.0,2263,908,6.203,NEAR BAY,416778.18
-122.47,38.29,14,3732,846.0,1277,775,2.5658,NEAR BAY,193861.0
-122.54,37.95,38,2310,400.0,971,386,5.697,NEAR BAY,392079.02
-123.1,38.79,20,3109,712.0,1643,638,2.8344,<1H OCEAN,146818.0
-117.07,32.56,9,3648,895.0,3293,840,3.0992,NEAR OCEAN,158066.0
-118.43,34.08,46,778,90.0,238,93,15.0001,<1H OCEAN,480113.76
-122.05,36.97,16,3363,611.0,1603,556,4.2542,NEAR OCEAN,277497.0
-122.25,37.49,43,2607,477.0,1225,461,4.224,NEAR OCEAN,343110.01
-117.87,34.14,30,2495,586.0,1139,559,2.9375,INLAND,172156.0
-118.2,34.05,42,1703,586.0,2490,581,2.02,<1H OCEAN,143441.0
-121.32,37.94,36,40,10.0,64,14,2.625,INLAND,167270.15
-120.96,38.66,11,2339,436.0,1062,380,3.9036,INLAND,160382.0
-120.43,34.96,24,2739,414.0,1171,413,4.8155,<1H OCEAN,208084.0
-122.28,37.9,52,2003,250.0,658,244,10.0825,NEAR BAY,493373.93
-122.0,37.08,17,4154,739.0,2149,693,5.5919,NEAR OCEAN,299143.0
-118.34,33.87,34,1069,217.0,601,212,4.6406,<1H OCEAN,282006.0
-118.52,34.21,36,1328,287.0,823,273,4.5648,<1H OCEAN,204671.0
-118.22,34.09,42,1706,488.0,1941,447,2.5213,<1H OCEAN,151247.0
-118.27,34.1,51,3149,519.0,1082,510,6.4459,<1H OCEAN,465497.53
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,INLAND,178614.0
-118.22,34.08,31,394,117.0,573,131,1.8173,<1H OCEAN,140976.0
-121.78,36.93,21,2794,662.0,2236,565,2.4053,<1H OCEAN,158168.0
-117.36,33.18,39,1546,291.0,833,308,2.8893,NEAR OCEAN,237486.0
-119.01,35.36,24,1941,484.0,1277,435,1.056,INLAND,56487.0
-117.81,34.11,21,3481,808.0,1866,746,3.6201,INLAND,169109.0
